call_id,duration,num_questions_asked,qa_mismatch,wrong_number_flag,medical_advice_flag,transcript,has_ticket
f7e530e4-d7f8-44fd-b19e-c6855b375caa,252,4,0,0,0,Could you please verify your account number?,0
12ff7192-cd38-4048-8c1b-a66350311150,480,5,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order.",0
e227c2fd-6cc1-4493-8c70-8516afcf04ef,286,4,0,1,0,"Sorry, I think I dialed the wrong number. I have processed your request, is there anything else? Thank you for calling support, how can I help you? Could you please verify your account number?",1
107fc043-041d-49b3-bc57-eb252d2f92d7,246,3,0,0,0,"Could you please verify your account number? Thank you for calling support, how can I help you?",0
63774016-c589-4b7a-90ff-346d60c6f6fe,542,1,0,0,0,"I have processed your request, is there anything else? Have a great day, thank you for being a customer. Could you please verify your account number?",0
781f233b-13a8-4a2b-a980-7026bb92f8d4,302,3,0,0,0,"Thank you for calling support, how can I help you? I have processed your request, is there anything else?",0
2705ed42-2d4b-42d2-994c-104b0790d864,8,0,0,0,0,"Thank you for calling support, how can I help you? Could you please verify your account number?",1
c0d10205-4661-42fd-a23e-3b0f22f7ddc4,390,3,0,0,0,"Let me check the status of your order. Thank you for calling support, how can I help you?",0
266032c6-8500-4a40-899e-5c6e3e2919c2,392,5,0,0,0,Could you please verify your account number?,0
9c8f09e2-4e40-49c8-a457-5f2039561e69,518,4,0,0,0,"Have a great day, thank you for being a customer. Thank you for calling support, how can I help you?",0
382eeca2-f1a3-4efa-876d-2ac59071c467,400,2,0,0,0,"Thank you for calling support, how can I help you?",0
abb0b81f-14af-42b6-b71e-19eb7b7f8b53,400,2,0,0,0,"Thank you for calling support, how can I help you?",0
9d5fef11-5dbf-41a1-b4bd-fa883225e3ca,617,2,0,0,0,Could you please verify your account number? Let me check the status of your order.,0
ed446329-64f5-4a3e-9e74-2f369405a9ad,460,2,0,0,0,"I have processed your request, is there anything else? Could you please verify your account number? Thank you for calling support, how can I help you?",0
d2e848fa-b258-4f6a-a559-f580444fc816,472,1,0,0,0,Could you please verify your account number?,0
57781d5b-e7d1-41bc-9368-f43a3a453649,385,2,0,0,0,Let me check the status of your order.,0
3836b530-7e3a-4c35-951a-1a638146938d,425,4,0,0,0,"Let me check the status of your order. Have a great day, thank you for being a customer.",0
7c484240-a523-46ee-a2f6-86bf2fc55bf8,669,1,0,0,0,"I have processed your request, is there anything else? Thank you for calling support, how can I help you?",0
438c66db-1fe1-4b1d-82f0-5288b6d40f67,435,2,0,0,0,"Thank you for calling support, how can I help you?",0
d6f0a314-7739-41e2-bdbf-5a9acff7aa20,528,4,0,0,0,"Thank you for calling support, how can I help you?",0
2a589482-4af7-4d8c-af71-da3c3879a1cf,328,5,0,0,0,"Could you please verify your account number? Have a great day, thank you for being a customer.",0
9fcad6c7-3886-4cab-82b4-592b7c7df186,306,2,0,0,0,"Thank you for calling support, how can I help you? I have processed your request, is there anything else? Have a great day, thank you for being a customer.",0
855c05a9-6677-41fb-963f-479563f4eab0,539,1,0,0,0,"Could you please verify your account number? Let me check the status of your order. Thank you for calling support, how can I help you?",0
a1bbe5db-a223-4acb-ad18-4bde82e2a454,467,5,0,0,0,"Let me check the status of your order. I have processed your request, is there anything else?",0
f604d02a-9598-481a-aa61-e243b0b3c0b8,426,5,0,0,0,"Have a great day, thank you for being a customer. Let me check the status of your order.",0
4d7d1df2-744e-4a35-80e2-c064c156b9b1,708,1,0,0,0,Let me check the status of your order.,0
4dcbc92f-801f-40d2-ae4e-e39b7504007b,293,4,0,0,0,Could you please verify your account number?,0
aff90775-12c8-47d5-98e0-5d7621c8eded,380,1,0,0,0,"Have a great day, thank you for being a customer.",0
e73624ec-135f-4a0b-9e16-22645f843604,293,5,0,0,0,"Have a great day, thank you for being a customer. Let me check the status of your order.",0
9be78cdd-7c59-486b-9f83-5d0e4425bbb4,507,5,0,0,0,"Thank you for calling support, how can I help you? Have a great day, thank you for being a customer.",0
59447db3-dcc2-4a65-a9a1-d1aa244e70c6,372,1,0,0,0,Could you please verify your account number?,0
a2d6fffa-8b38-43d2-af70-a2f225ba2350,171,1,0,0,0,"I'm going to sue your company. I have processed your request, is there anything else? Could you please verify your account number? Have a great day, thank you for being a customer.",1
e59986fc-7483-42ec-8959-8b4ce7d5e77f,374,1,0,0,0,"Have a great day, thank you for being a customer. Thank you for calling support, how can I help you?",0
b03f739d-ed49-4752-b549-a8438582e925,665,1,0,0,0,Let me check the status of your order.,0
f2ebd9fd-4253-47bb-9e1d-705f6bf69d43,410,4,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order. Could you please verify your account number?",0
469528f1-a5e9-4d2c-bbeb-ca64db2c3aa6,363,1,0,0,0,"Thank you for calling support, how can I help you? Have a great day, thank you for being a customer. Let me check the status of your order.",0
2334ad24-5c3d-4d1b-bf19-0405e8aed4e7,157,4,0,0,0,Let me check the status of your order.,0
0e047303-cb8b-4c66-a2c7-a567f1471767,309,3,0,0,0,"I have processed your request, is there anything else? Thank you for calling support, how can I help you?",0
e9c34333-71f3-4575-ad17-16c5af64e7ab,432,4,0,0,0,"I have processed your request, is there anything else? Could you please verify your account number? Let me check the status of your order.",0
fe9684b0-1a3d-49d2-b16b-58788c7f5a13,451,2,0,0,0,"Could you please verify your account number? Thank you for calling support, how can I help you?",0
f4efe013-893f-481d-89c3-dfd0402ce5c2,347,4,0,0,0,Could you please verify your account number?,0
2a940e47-06bc-4085-904d-ea7c12ffc40f,544,5,0,0,0,"Could you please verify your account number? Thank you for calling support, how can I help you? Have a great day, thank you for being a customer.",0
590701b0-f73b-40b6-90f1-287b529e2d0a,208,3,0,0,0,"Could you please verify your account number? Have a great day, thank you for being a customer.",0
7dd52759-d331-459f-a6bf-25a201ce90bf,486,3,0,0,0,"Have a great day, thank you for being a customer. Could you please verify your account number? Thank you for calling support, how can I help you?",0
e619992e-c9bb-4a62-9184-1c90537e6be1,62,3,0,0,0,"Could you please verify your account number? Have a great day, thank you for being a customer.",0
4a4f7eae-4dd1-4516-8aae-984bba6c0240,30,2,0,0,0,"I have processed your request, is there anything else? Have a great day, thank you for being a customer.",0
5a67009a-488f-4883-b969-0348804dda0a,593,3,0,0,0,"I have processed your request, is there anything else?",0
a1de0871-65e4-4b79-8315-061934dc67a1,367,1,0,0,0,Let me check the status of your order.,0
af52824e-aaf4-4e48-8f88-ad6c07608c9e,525,3,0,0,0,"Thank you for calling support, how can I help you?",0
cb115e90-44af-423e-ad75-c39a7c2039d5,216,3,0,0,0,"Let me check the status of your order. Have a great day, thank you for being a customer.",0
07f9bce3-b660-4179-b497-4c8c2767478e,306,3,0,0,0,"I have processed your request, is there anything else?",0
ac0e2816-6a14-4352-be21-9294e0903b3e,498,4,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order.",0
f4aef2c6-4711-443b-b4ce-1dfb02321266,316,3,0,0,0,"Thank you for calling support, how can I help you? Could you please verify your account number?",0
fda6733e-7031-4c9e-96fe-9758e15e8120,331,3,0,0,0,"I have processed your request, is there anything else?",0
fac6fef6-ec53-4cba-9630-6f568d3fccdd,446,2,0,0,0,"Could you please verify your account number? Let me check the status of your order. Thank you for calling support, how can I help you?",0
6f77854a-d532-49dc-be45-773129d7a718,467,2,0,0,0,"Thank you for calling support, how can I help you? Let me check the status of your order. Could you please verify your account number?",0
bbc3156d-e138-4892-b9c1-987b3f7b041e,472,5,0,0,0,"Thank you for calling support, how can I help you? Have a great day, thank you for being a customer.",0
0b277f34-8913-4991-a60a-ae93632dde04,447,2,0,0,0,"Have a great day, thank you for being a customer. Let me check the status of your order.",0
a58cdad2-1139-4cbe-9570-84c2a067858d,430,1,0,0,0,Let me check the status of your order.,0
4b69dd28-d908-4e9d-937d-9e43ca146db6,465,1,0,0,0,"Have a great day, thank you for being a customer. I have processed your request, is there anything else? Let me check the status of your order.",0
d58bde0c-eeca-42b9-8364-fce1b7300867,463,2,0,0,0,Let me check the status of your order.,0
ad18a3e0-8b6d-462a-9c2c-f50beaa933cf,396,5,0,0,0,"Let me check the status of your order. I have processed your request, is there anything else? Could you please verify your account number?",0
ca31bef6-e43c-48fd-895e-6f7f0f5073f4,606,5,0,0,0,"Let me check the status of your order. Have a great day, thank you for being a customer.",0
31f39943-00be-4aa1-94c8-a9f659532a3b,368,3,0,0,0,"Could you please verify your account number? Let me check the status of your order. Thank you for calling support, how can I help you?",0
f9545422-c892-4396-ad4c-96ac64037d42,283,4,0,0,0,Could you please verify your account number?,0
df69f169-ee0e-49e4-81f5-2f0aed40e750,443,4,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order. Thank you for calling support, how can I help you?",0
1433bbc5-4487-4816-b198-84d641d59c05,116,1,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order. Could you please verify your account number?",0
0599cbea-c9bb-49ca-a1ce-530984a55a23,329,5,0,0,0,Could you please verify your account number? Let me check the status of your order.,0
ff3f16e3-13e3-402a-bc68-aa170f2a035c,645,3,0,0,0,"Let me check the status of your order. Thank you for calling support, how can I help you?",0
1ca9f83b-fbb1-4bbc-bc4c-fcf80845ef55,515,1,0,0,0,"Have a great day, thank you for being a customer. Let me check the status of your order.",0
7a211310-6b7c-4a58-83f1-521767e5d487,414,2,0,0,0,"Have a great day, thank you for being a customer. Could you please verify your account number? Let me check the status of your order.",0
5d7d0b4f-9d10-45d7-9664-8a3611dab276,175,5,0,0,0,"I have processed your request, is there anything else? Could you please verify your account number? Have a great day, thank you for being a customer.",0
b97dbd02-38de-4350-a3bc-1ef8db5d3490,80,1,0,0,0,"Let me check the status of your order. Thank you for calling support, how can I help you?",0
86abae5c-4144-4a69-8ef7-b1972ac8c140,201,2,0,0,0,"Thank you for calling support, how can I help you? Have a great day, thank you for being a customer.",0
da257a14-0b50-47e3-a4f5-185b27ea6b79,530,2,0,0,0,"I have processed your request, is there anything else? Let me check the status of your order. Thank you for calling support, how can I help you?",0
2a2fe789-0db9-4e46-a36a-66eac1f92709,184,5,0,0,0,"Could you please verify your account number? Thank you for calling support, how can I help you? Let me check the status of your order.",0
713e1ed0-a26b-4865-85ef-f19d560019e8,276,1,0,0,0,Could you please verify your account number?,0
